id,exam,year,subject,topic,difficulty,question,recency,difficulty_score
828,IBPS PO,2023,Quantitative Aptitude,Time and Work,Easy,Find the efficiency ratio of two workers given their individual work rates.,3,1
829,IBPS PO,2021,Reasoning,Direction Sense,Easy,A person walks 100 km north and then 20 km east. Find the shortest distance to start.,5,1
830,IBPS PO,2025,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,1,3
831,RRB NTPC,2024,Quantitative Aptitude,Profit and Loss,Easy,An article bought for 600 is sold for 15. Find the profit or loss percentage.,2,1
832,SSC CGL,2025,General Awareness,History,Hard,Identify the event associated with the given year.,1,3
833,SSC CHSL,2022,Quantitative Aptitude,Simple Interest,Easy,Find the principal amount given simple interest of 100 at 15% rate.,4,1
834,SSC CGL,2024,Reasoning,Blood Relation,Easy,Find the relationship between two persons based on the given statements.,2,1
835,RRB NTPC,2022,English,Reading Comprehension,Hard,Identify the main idea of the given passage.,4,3
836,RRB NTPC,2021,General Awareness,Indian Polity,Easy,Who is known as the chief architect of the Indian Constitution?,5,1
837,SSC CHSL,2024,English,Vocabulary,Medium,Choose the correct meaning of the word.,2,2
838,SSC CHSL,2022,Quantitative Aptitude,Profit and Loss,Easy,A trader allows a discount of 5%. Find the new selling price.,4,1
839,SSC CGL,2024,Reasoning,Analogy,Hard,Book is related to Reading. Pen is related to?,2,3
840,SSC CHSL,2022,Quantitative Aptitude,Algebra,Medium,Solve the given algebraic equation for x.,4,2
841,SSC CHSL,2024,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,2,2
842,SSC CHSL,2025,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,1,1
843,SSC CHSL,2024,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,2,1
844,SSC CHSL,2021,English,Vocabulary,Easy,Choose the correct meaning of the word.,5,1
845,RRB NTPC,2023,Quantitative Aptitude,Time and Work,Medium,Find the efficiency ratio of two workers given their individual work rates.,3,2
846,IBPS PO,2025,General Awareness,Current Affairs,Easy,Which event is currently in the news?,1,1
847,SSC CGL,2023,English,Reading Comprehension,Medium,Read the passage and answer the question.,3,2
848,RRB NTPC,2025,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,1,3
849,SSC CGL,2024,English,Vocabulary,Medium,Choose the antonym of the given word.,2,2
850,RRB NTPC,2023,Reasoning,Blood Relation,Medium,A is the son of B. B is the daughter of C. How is A related to C?,3,2
851,SSC CHSL,2021,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,5,2
852,SSC CHSL,2025,Quantitative Aptitude,Time and Work,Medium,Find the efficiency ratio of two workers given their individual work rates.,1,2
853,SSC CGL,2024,Quantitative Aptitude,Geometry,Medium,Find the type of triangle having all angles equal.,2,2
854,IBPS PO,2025,Quantitative Aptitude,Geometry,Hard,Find the area of a triangle with base 100 cm and height 10 cm.,1,3
855,IBPS PO,2021,Quantitative Aptitude,Simple Interest,Easy,Find the principal amount given simple interest of 250 at 30% rate.,5,1
856,SSC CHSL,2022,Quantitative Aptitude,Time and Work,Easy,A can complete a work in 200 days and B in 30 days. Find the time taken together.,4,1
857,RRB NTPC,2025,Quantitative Aptitude,Profit and Loss,Medium,A shopkeeper marks an item 50% above cost price. Find the marked price.,1,2
858,IBPS PO,2025,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,1,1
859,RRB NTPC,2022,Reasoning,Blood Relation,Easy,Find the relationship between two persons based on the given statements.,4,1
860,RRB NTPC,2022,Quantitative Aptitude,Geometry,Easy,Find the perimeter of a rectangle with length 600 cm and breadth 36 cm.,4,1
861,SSC CHSL,2025,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,1,2
862,SSC CGL,2024,Quantitative Aptitude,Data Interpretation,Medium,Analyse the bar graph and find the percentage change.,2,2
863,SSC CGL,2021,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,5,2
864,RRB NTPC,2022,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 250 at 12% per annum for 10 years.,4,1
865,SSC CGL,2023,English,Grammar,Easy,Identify the error in the sentence.,3,1
866,RRB NTPC,2022,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,4,1
867,RRB NTPC,2022,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,4,1
868,RRB NTPC,2021,Reasoning,Blood Relation,Hard,Find the relationship between two persons based on the given statements.,5,3
869,SSC CHSL,2025,Reasoning,Coding Decoding,Easy,Find the next term using a coding pattern.,1,1
870,RRB NTPC,2021,Reasoning,Syllogism,Medium,"Based on the two statements, find the valid conclusion.",5,2
871,SSC CHSL,2023,Quantitative Aptitude,Time and Work,Medium,A can complete a work in 750 days and B in 20 days. Find the time taken together.,3,2
872,IBPS PO,2022,General Awareness,History,Medium,Identify the event associated with the given year.,4,2
873,RRB NTPC,2022,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,4,2
874,IBPS PO,2023,Quantitative Aptitude,Profit and Loss,Easy,An article bought for 300 is sold for 36. Find the profit or loss percentage.,3,1
875,IBPS PO,2024,Quantitative Aptitude,Geometry,Medium,Find the circumference of a circle with radius 100 cm.,2,2
876,IBPS PO,2024,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,2,1
877,RRB NTPC,2025,General Awareness,Current Affairs,Medium,Which event is currently in the news?,1,2
878,IBPS PO,2023,General Awareness,History,Hard,Identify the event associated with the given year.,3,3
879,SSC CHSL,2024,General Awareness,History,Medium,Identify the event associated with the given year.,2,2
880,IBPS PO,2024,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 300 at 20% per annum for 20 years.,2,1
881,SSC CHSL,2023,English,Vocabulary,Medium,Choose the correct meaning of the word.,3,2
882,RRB NTPC,2022,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,4,1
883,IBPS PO,2024,Reasoning,Analogy,Easy,Choose the word that best completes the analogy.,2,1
884,RRB NTPC,2025,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,1,2
885,SSC CGL,2021,Quantitative Aptitude,Profit and Loss,Easy,A shopkeeper marks an item 25% above cost price. Find the marked price.,5,1
886,SSC CHSL,2025,Quantitative Aptitude,Data Interpretation,Medium,Find the ratio of values shown in the given pie chart.,1,2
887,RRB NTPC,2022,Reasoning,Coding Decoding,Medium,Find the next term using a coding pattern.,4,2
888,IBPS PO,2021,Reasoning,Series,Easy,Find the next term in the given number series.,5,1
889,RRB NTPC,2025,English,Reading Comprehension,Hard,Read the passage and answer the question.,1,3
890,RRB NTPC,2022,English,Reading Comprehension,Hard,Identify the main idea of the given passage.,4,3
891,RRB NTPC,2022,Quantitative Aptitude,Data Interpretation,Medium,Find the ratio of values shown in the given pie chart.,4,2
892,SSC CGL,2023,Reasoning,Series,Easy,Find the missing number in the series.,3,1
893,RRB NTPC,2024,Reasoning,Syllogism,Easy,"Based on the two statements, find the valid conclusion.",2,1
894,SSC CGL,2021,Reasoning,Direction Sense,Easy,A person walks 750 km north and then 18 km east. Find the shortest distance to start.,5,1
895,RRB NTPC,2021,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,5,1
896,IBPS PO,2025,Reasoning,Blood Relation,Hard,Find the relationship between two persons based on the given statements.,1,3
897,RRB NTPC,2021,General Awareness,History,Medium,Identify the event associated with the given year.,5,2
898,SSC CGL,2024,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,2,1
899,IBPS PO,2025,Quantitative Aptitude,Data Interpretation,Medium,Analyse the bar graph and find the percentage change.,1,2
900,IBPS PO,2023,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,3,1
901,RRB NTPC,2023,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,3,1
902,IBPS PO,2025,Quantitative Aptitude,Algebra,Medium,Find the roots of the equation x^2 - 750x + 12 = 0.,1,2
903,RRB NTPC,2025,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,1,2
904,SSC CGL,2023,Reasoning,Direction Sense,Easy,A person walks 300 km north and then 24 km east. Find the shortest distance to start.,3,1
905,SSC CHSL,2023,Quantitative Aptitude,Geometry,Medium,Find the type of triangle having all angles equal.,3,2
906,SSC CHSL,2021,Quantitative Aptitude,Time and Work,Medium,A pipe fills a tank in 100 hours. Find the time to fill 40% of the tank.,5,2
907,IBPS PO,2023,General Awareness,Current Affairs,Easy,Which event is currently in the news?,3,1
908,RRB NTPC,2023,English,Reading Comprehension,Medium,Read the passage and answer the question.,3,2
909,SSC CGL,2021,English,Reading Comprehension,Hard,Identify the main idea of the given passage.,5,3
910,RRB NTPC,2024,English,Reading Comprehension,Medium,Read the passage and answer the question.,2,2
911,IBPS PO,2025,General Awareness,History,Hard,Who founded the Maurya Empire?,1,3
912,IBPS PO,2023,Reasoning,Blood Relation,Easy,Find the relationship between two persons based on the given statements.,3,1
913,SSC CHSL,2025,General Awareness,Science,Medium,Which gas is essential for respiration?,1,2
914,IBPS PO,2022,General Awareness,Science,Medium,Which gas is essential for respiration?,4,2
915,SSC CGL,2023,Quantitative Aptitude,Geometry,Medium,Find the perimeter of a rectangle with length 150 cm and breadth 30 cm.,3,2
916,IBPS PO,2025,Reasoning,Analogy,Easy,Choose the word that best completes the analogy.,1,1
917,RRB NTPC,2022,General Awareness,Science,Medium,Which gas is essential for respiration?,4,2
918,SSC CHSL,2021,Reasoning,Puzzle,Easy,Solve the seating arrangement puzzle based on given conditions.,5,1
919,RRB NTPC,2021,Quantitative Aptitude,Data Interpretation,Medium,Find the average from the given data table.,5,2
920,SSC CHSL,2023,English,Vocabulary,Easy,Choose the synonym of the given word.,3,1
921,SSC CHSL,2024,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,2,2
922,SSC CHSL,2025,General Awareness,Geography,Hard,Which state has the highest geographical area?,1,3
923,IBPS PO,2022,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,4,2
924,IBPS PO,2024,General Awareness,History,Easy,Identify the event associated with the given year.,2,1
925,IBPS PO,2021,Quantitative Aptitude,Data Interpretation,Medium,Find the average from the given data table.,5,2
926,RRB NTPC,2024,Reasoning,Series,Easy,Find the missing number in the series.,2,1
927,SSC CHSL,2025,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,1,1
928,RRB NTPC,2023,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,3,2
929,IBPS PO,2024,Reasoning,Series,Easy,Find the next term in the given number series.,2,1
930,SSC CGL,2023,Quantitative Aptitude,Data Interpretation,Medium,Find the average from the given data table.,3,2
931,IBPS PO,2021,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,5,1
932,SSC CHSL,2023,General Awareness,Geography,Medium,Which river is the longest in India?,3,2
933,RRB NTPC,2025,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 150 at 20% rate.,1,2
934,SSC CGL,2021,General Awareness,History,Medium,Identify the event associated with the given year.,5,2
935,RRB NTPC,2022,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 100 at 15% rate.,4,2
936,RRB NTPC,2021,General Awareness,Indian Polity,Medium,Which article of the Constitution deals with the given provision?,5,2
937,SSC CGL,2024,Reasoning,Series,Medium,Find the next term in the given number series.,2,2
938,SSC CGL,2023,Reasoning,Blood Relation,Easy,A is the son of B. B is the daughter of C. How is A related to C?,3,1
939,SSC CGL,2021,Reasoning,Analogy,Easy,Book is related to Reading. Pen is related to?,5,1
940,RRB NTPC,2021,General Awareness,Current Affairs,Easy,Which event is currently in the news?,5,1
941,SSC CGL,2025,Reasoning,Coding Decoding,Medium,"If CAT is coded as DBU, how is DOG coded?",1,2
942,RRB NTPC,2025,Quantitative Aptitude,Data Interpretation,Hard,Find the ratio of values shown in the given pie chart.,1,3
943,SSC CGL,2025,English,Vocabulary,Hard,Choose the antonym of the given word.,1,3
944,RRB NTPC,2025,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,1,2
945,IBPS PO,2021,General Awareness,Indian Polity,Medium,Which article of the Constitution deals with the given provision?,5,2
946,RRB NTPC,2022,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,4,1
947,SSC CGL,2024,General Awareness,History,Easy,Identify the event associated with the given year.,2,1
948,RRB NTPC,2024,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,2,2
949,IBPS PO,2023,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,3,2
950,RRB NTPC,2023,Quantitative Aptitude,Percentage,Easy,The population of a town grew by 20% in a year. Find the increase.,3,1
951,IBPS PO,2023,Reasoning,Analogy,Hard,Choose the word that best completes the analogy.,3,3
952,RRB NTPC,2025,Reasoning,Blood Relation,Hard,A is the son of B. B is the daughter of C. How is A related to C?,1,3
953,RRB NTPC,2025,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,1,2
954,SSC CGL,2025,Quantitative Aptitude,Geometry,Medium,Find the perimeter of a rectangle with length 750 cm and breadth 15 cm.,1,2
955,SSC CHSL,2025,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,1,1
956,RRB NTPC,2022,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,4,2
957,IBPS PO,2022,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 750 at 20% per annum for 24 years.,4,1
958,SSC CGL,2025,Reasoning,Puzzle,Medium,Arrange the given items based on the clues provided.,1,2
959,SSC CGL,2023,English,Vocabulary,Medium,Choose the antonym of the given word.,3,2
960,SSC CHSL,2021,Quantitative Aptitude,Time and Work,Easy,A pipe fills a tank in 300 hours. Find the time to fill 12% of the tank.,5,1
961,SSC CGL,2021,Quantitative Aptitude,Time and Work,Hard,A pipe fills a tank in 200 hours. Find the time to fill 30% of the tank.,5,3
962,RRB NTPC,2023,English,Grammar,Hard,Identify the error in the sentence.,3,3
963,SSC CHSL,2022,General Awareness,Static GK,Hard,Identify the national symbol described in the question.,4,3
964,SSC CHSL,2024,Quantitative Aptitude,Profit and Loss,Hard,A trader allows a discount of 40%. Find the new selling price.,2,3
965,SSC CGL,2022,Reasoning,Analogy,Hard,Book is related to Reading. Pen is related to?,4,3
966,SSC CGL,2025,Quantitative Aptitude,Data Interpretation,Hard,Find the ratio of values shown in the given pie chart.,1,3
967,RRB NTPC,2024,Quantitative Aptitude,Algebra,Medium,Simplify the given quadratic expression.,2,2
968,RRB NTPC,2025,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,1,1
969,SSC CHSL,2022,Quantitative Aptitude,Time and Work,Medium,A pipe fills a tank in 300 hours. Find the time to fill 20% of the tank.,4,2
970,IBPS PO,2024,Quantitative Aptitude,Profit and Loss,Medium,Find the selling price if cost price is 500 and profit is 10%.,2,2
971,RRB NTPC,2025,Reasoning,Syllogism,Medium,Determine whether the given statements follow logically.,1,2
972,SSC CGL,2023,Quantitative Aptitude,Geometry,Easy,Find the circumference of a circle with radius 100 cm.,3,1
973,SSC CGL,2022,Quantitative Aptitude,Profit and Loss,Hard,A trader allows a discount of 25%. Find the new selling price.,4,3
974,IBPS PO,2024,Quantitative Aptitude,Profit and Loss,Hard,A shopkeeper marks an item 12% above cost price. Find the marked price.,2,3
975,IBPS PO,2022,Quantitative Aptitude,Data Interpretation,Easy,Find the average from the given data table.,4,1
976,RRB NTPC,2023,Quantitative Aptitude,Time and Work,Medium,A pipe fills a tank in 200 hours. Find the time to fill 50% of the tank.,3,2
977,SSC CHSL,2025,General Awareness,History,Easy,Identify the event associated with the given year.,1,1
978,SSC CHSL,2021,General Awareness,Geography,Medium,Which river is the longest in India?,5,2
979,SSC CHSL,2021,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,5,2
980,RRB NTPC,2024,General Awareness,History,Easy,Identify the event associated with the given year.,2,1
981,SSC CHSL,2021,General Awareness,Science,Hard,Which gas is essential for respiration?,5,3
982,IBPS PO,2021,Reasoning,Series,Easy,Find the next term in the given number series.,5,1
983,IBPS PO,2024,English,Vocabulary,Hard,Choose the synonym of the given word.,2,3
984,SSC CGL,2023,General Awareness,History,Medium,Who founded the Maurya Empire?,3,2
985,SSC CHSL,2023,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,3,2
986,SSC CHSL,2021,Quantitative Aptitude,Profit and Loss,Medium,Find the selling price if cost price is 300 and profit is 5%.,5,2
987,SSC CGL,2025,General Awareness,Geography,Hard,Which river is the longest in India?,1,3
988,IBPS PO,2022,English,Grammar,Hard,Choose the grammatically correct sentence.,4,3
989,RRB NTPC,2023,Quantitative Aptitude,Time and Work,Hard,A can complete a work in 250 days and B in 20 days. Find the time taken together.,3,3
990,IBPS PO,2021,General Awareness,Geography,Medium,Which river is the longest in India?,5,2
991,SSC CHSL,2025,Reasoning,Analogy,Easy,Book is related to Reading. Pen is related to?,1,1
992,IBPS PO,2025,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,1,2
993,RRB NTPC,2023,English,Vocabulary,Hard,Choose the synonym of the given word.,3,3
994,IBPS PO,2022,English,Grammar,Hard,Choose the grammatically correct sentence.,4,3
995,SSC CGL,2023,General Awareness,Static GK,Hard,Identify the national symbol described in the question.,3,3
996,SSC CGL,2021,Reasoning,Syllogism,Medium,Determine whether the given statements follow logically.,5,2
997,RRB NTPC,2021,General Awareness,Indian Polity,Hard,Who is known as the chief architect of the Indian Constitution?,5,3
998,RRB NTPC,2024,Quantitative Aptitude,Percentage,Easy,"If a value decreases by 12%, find the resulting percentage change.",2,1
999,SSC CGL,2022,Quantitative Aptitude,Profit and Loss,Easy,An article bought for 750 is sold for 18. Find the profit or loss percentage.,4,1
1000,IBPS PO,2023,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,3,2
1001,SSC CHSL,2022,Quantitative Aptitude,Profit and Loss,Hard,A trader allows a discount of 25%. Find the new selling price.,4,3
1002,RRB NTPC,2021,Quantitative Aptitude,Algebra,Hard,"If x + y = 400 and x - y = 15, find the value of x.",5,3
1003,RRB NTPC,2024,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,2,2
1004,IBPS PO,2022,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,4,2
1005,SSC CHSL,2025,English,Vocabulary,Medium,Choose the synonym of the given word.,1,2
1006,RRB NTPC,2023,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,3,1
1007,SSC CGL,2023,English,Grammar,Hard,Choose the grammatically correct sentence.,3,3
1008,RRB NTPC,2025,General Awareness,Geography,Hard,Which river is the longest in India?,1,3
1009,IBPS PO,2022,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,4,1
1010,IBPS PO,2023,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,3,1
1011,IBPS PO,2022,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,4,1
1012,SSC CHSL,2025,General Awareness,Static GK,Hard,Identify the national symbol described in the question.,1,3
1013,RRB NTPC,2023,Reasoning,Series,Medium,Find the odd one out from the given series.,3,2
1014,SSC CGL,2022,Quantitative Aptitude,Percentage,Medium,The population of a town grew by 50% in a year. Find the increase.,4,2
1015,IBPS PO,2022,Quantitative Aptitude,Profit and Loss,Easy,A trader allows a discount of 12%. Find the new selling price.,4,1
1016,RRB NTPC,2025,Quantitative Aptitude,Time and Work,Hard,A pipe fills a tank in 200 hours. Find the time to fill 15% of the tank.,1,3
1017,SSC CGL,2023,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,3,1
1018,IBPS PO,2022,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,4,1
1019,SSC CGL,2022,General Awareness,Current Affairs,Easy,Which event is currently in the news?,4,1
1020,RRB NTPC,2023,English,Reading Comprehension,Easy,Identify the main idea of the given passage.,3,1
1021,SSC CHSL,2022,General Awareness,Geography,Medium,Which state has the highest geographical area?,4,2
1022,RRB NTPC,2021,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,5,2
1023,IBPS PO,2023,Quantitative Aptitude,Profit and Loss,Hard,A shopkeeper marks an item 10% above cost price. Find the marked price.,3,3
1024,SSC CHSL,2021,Reasoning,Analogy,Hard,Choose the word that best completes the analogy.,5,3
1025,RRB NTPC,2022,Quantitative Aptitude,Geometry,Hard,Find the circumference of a circle with radius 400 cm.,4,3
1026,SSC CGL,2025,Reasoning,Syllogism,Easy,"Based on the two statements, find the valid conclusion.",1,1
1027,RRB NTPC,2021,English,Vocabulary,Easy,Choose the antonym of the given word.,5,1
1028,IBPS PO,2021,General Awareness,Current Affairs,Medium,Which event is currently in the news?,5,2
1029,SSC CGL,2025,Quantitative Aptitude,Percentage,Easy,"If a value decreases by 40%, find the resulting percentage change.",1,1
1030,SSC CGL,2023,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,3,2
1031,SSC CHSL,2024,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,2,3
1032,RRB NTPC,2023,General Awareness,Static GK,Hard,Identify the national symbol described in the question.,3,3
1033,SSC CHSL,2022,Quantitative Aptitude,Data Interpretation,Easy,Find the average from the given data table.,4,1
1034,SSC CGL,2024,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,2,2
1035,SSC CGL,2023,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,3,2
1036,SSC CGL,2025,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,1,1
1037,SSC CHSL,2025,Quantitative Aptitude,Time and Work,Hard,A pipe fills a tank in 750 hours. Find the time to fill 30% of the tank.,1,3
1038,SSC CGL,2022,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,4,1
1039,SSC CGL,2023,General Awareness,History,Easy,Who founded the Maurya Empire?,3,1
1040,SSC CHSL,2022,Quantitative Aptitude,Time and Work,Easy,A pipe fills a tank in 600 hours. Find the time to fill 12% of the tank.,4,1
1041,RRB NTPC,2024,Reasoning,Syllogism,Medium,"Based on the two statements, find the valid conclusion.",2,2
1042,SSC CGL,2023,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,3,1
1043,IBPS PO,2022,Reasoning,Analogy,Hard,Book is related to Reading. Pen is related to?,4,3
1044,SSC CGL,2023,Quantitative Aptitude,Geometry,Medium,Find the circumference of a circle with radius 150 cm.,3,2
1045,RRB NTPC,2024,Reasoning,Series,Medium,Find the missing number in the series.,2,2
1046,SSC CHSL,2023,General Awareness,Geography,Easy,Which state has the highest geographical area?,3,1
1047,RRB NTPC,2023,General Awareness,Science,Easy,Which gas is essential for respiration?,3,1
1048,SSC CGL,2022,General Awareness,Geography,Medium,Which river is the longest in India?,4,2
1049,SSC CHSL,2023,General Awareness,History,Medium,Identify the event associated with the given year.,3,2
1050,SSC CHSL,2023,English,Grammar,Hard,Identify the error in the sentence.,3,3
1051,RRB NTPC,2024,Quantitative Aptitude,Profit and Loss,Easy,A trader allows a discount of 50%. Find the new selling price.,2,1
1052,RRB NTPC,2022,Reasoning,Direction Sense,Easy,A person walks 250 km north and then 10 km east. Find the shortest distance to start.,4,1
1053,SSC CHSL,2023,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,3,1
1054,SSC CGL,2022,Reasoning,Blood Relation,Medium,Find the relationship between two persons based on the given statements.,4,2
1055,RRB NTPC,2021,General Awareness,Geography,Easy,Which state has the highest geographical area?,5,1
1056,RRB NTPC,2023,Reasoning,Direction Sense,Hard,A person walks 150 km north and then 18 km east. Find the shortest distance to start.,3,3
1057,IBPS PO,2023,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,3,2
1058,RRB NTPC,2021,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,5,2
1059,SSC CHSL,2021,English,Vocabulary,Easy,Choose the antonym of the given word.,5,1
1060,SSC CHSL,2023,Reasoning,Syllogism,Easy,"Based on the two statements, find the valid conclusion.",3,1
1061,SSC CGL,2025,Reasoning,Blood Relation,Medium,A is the son of B. B is the daughter of C. How is A related to C?,1,2
1062,SSC CHSL,2021,English,Reading Comprehension,Hard,Read the passage and answer the question.,5,3
1063,RRB NTPC,2024,Quantitative Aptitude,Profit and Loss,Medium,An article bought for 500 is sold for 30. Find the profit or loss percentage.,2,2
1064,RRB NTPC,2025,Reasoning,Analogy,Hard,Choose the word that best completes the analogy.,1,3
1065,RRB NTPC,2025,English,Grammar,Easy,Identify the error in the sentence.,1,1
1066,IBPS PO,2025,Reasoning,Syllogism,Medium,Determine whether the given statements follow logically.,1,2
1067,SSC CHSL,2025,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,1,1
1068,RRB NTPC,2025,Quantitative Aptitude,Profit and Loss,Hard,An article bought for 500 is sold for 12. Find the profit or loss percentage.,1,3
1069,SSC CGL,2025,Reasoning,Blood Relation,Hard,Find the relationship between two persons based on the given statements.,1,3
1070,IBPS PO,2024,General Awareness,Indian Polity,Hard,Which article of the Constitution deals with the given provision?,2,3
1071,RRB NTPC,2022,General Awareness,History,Hard,Who founded the Maurya Empire?,4,3
1072,SSC CHSL,2025,Reasoning,Series,Hard,Find the next term in the given number series.,1,3
1073,SSC CGL,2022,English,Grammar,Hard,Choose the grammatically correct sentence.,4,3
1074,SSC CGL,2022,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 750 at 30% rate.,4,2
1075,SSC CGL,2022,English,Grammar,Easy,Choose the grammatically correct sentence.,4,1
1076,RRB NTPC,2022,Quantitative Aptitude,Profit and Loss,Hard,A shopkeeper marks an item 50% above cost price. Find the marked price.,4,3
1077,RRB NTPC,2022,General Awareness,Geography,Medium,Which state has the highest geographical area?,4,2
1078,IBPS PO,2021,General Awareness,Science,Easy,Which gas is essential for respiration?,5,1
1079,IBPS PO,2025,Quantitative Aptitude,Algebra,Easy,Simplify the given quadratic expression.,1,1
1080,IBPS PO,2023,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,3,1
1081,RRB NTPC,2025,Quantitative Aptitude,Algebra,Hard,Simplify the given quadratic expression.,1,3
1082,SSC CGL,2025,English,Vocabulary,Medium,Choose the correct meaning of the word.,1,2
1083,SSC CGL,2025,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,1,2
1084,IBPS PO,2024,Quantitative Aptitude,Profit and Loss,Hard,A trader allows a discount of 25%. Find the new selling price.,2,3
1085,RRB NTPC,2025,English,Grammar,Hard,Choose the grammatically correct sentence.,1,3
1086,IBPS PO,2023,Quantitative Aptitude,Data Interpretation,Easy,Find the ratio of values shown in the given pie chart.,3,1
1087,SSC CHSL,2025,Reasoning,Direction Sense,Easy,A person walks 500 km north and then 24 km east. Find the shortest distance to start.,1,1
1088,SSC CHSL,2024,General Awareness,Indian Polity,Hard,Which article of the Constitution deals with the given provision?,2,3
1089,SSC CHSL,2023,English,Grammar,Easy,Identify the error in the sentence.,3,1
1090,SSC CHSL,2025,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,1,2
1091,SSC CHSL,2022,English,Vocabulary,Easy,Choose the correct meaning of the word.,4,1
1092,SSC CHSL,2021,English,Reading Comprehension,Hard,Read the passage and answer the question.,5,3
1093,IBPS PO,2024,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,2,2
1094,RRB NTPC,2025,Reasoning,Coding Decoding,Medium,"If CAT is coded as DBU, how is DOG coded?",1,2
1095,IBPS PO,2025,English,Reading Comprehension,Medium,Read the passage and answer the question.,1,2
1096,SSC CGL,2024,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,2,2
1097,IBPS PO,2021,Quantitative Aptitude,Profit and Loss,Easy,A trader allows a discount of 25%. Find the new selling price.,5,1
1098,SSC CHSL,2024,Quantitative Aptitude,Geometry,Medium,Find the circumference of a circle with radius 500 cm.,2,2
1099,RRB NTPC,2021,Quantitative Aptitude,Time and Work,Medium,A can complete a work in 100 days and B in 10 days. Find the time taken together.,5,2
